noise_strength,mean_variance,std_variance
0.0,0.021959343210751613,0.004567172684882966
0.01,0.014136874793787372,0.002092883840222343
0.02,0.010016567275231652,0.002650092880763257
0.05,0.0020226645849153466,0.00038789235728654674
0.1,0.00024488675599514294,6.309289950897974e-05
