depth,mean_variance,std_variance
1,0.018327867637830043,0.013014227145127394
2,0.025454874114099225,0.007014378694655399
3,0.019394782990567537,0.004119262840218716
5,0.006788817986229571,0.0026878347769927545
8,0.0020007783975862213,0.0004506842709456895
12,0.0004625209655279822,0.00013288349633930061
